Place of interest;Type of place;Place address;BiciMAD station;Station location
Parroquia Castrense Santa María de la Dehesa;catolicas;AVENIDA ARQUEROS 19;Caramuel;Calle Caramuel nº 51
Parroquia Concepción de Nuestra Señora;catolicas;CALLE GOYA 26;General Pardiñas;Calle Goya nº 18
Parroquia Cristo Resucitado;catolicas;CALLE CEBREROS 56;Caramuel;Calle Caramuel nº 51
Parroquia Cristo Rey de Usera;catolicas;CALLE AMOR HERMOSO 15;Glorieta de Cádiz;Calle Antonio López nº 129
Parroquia Cristo Sacerdote;catolicas;CALLE LOPEZ DE ARANDA 52;Carlota O’Neill;Calle Carlota O'Neill nº 32
Parroquia Cristo Salvador;catolicas;CALLE CARACOLI 1;Carlota O’Neill;Calle Carlota O'Neill nº 32
Parroquia Cristo de la Paz;catolicas;CALLE PORTALEGRE 8;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Parroquia Crucifixión del Señor;catolicas;CALLE CUART DE POBLET 11;Caramuel;Calle Caramuel nº 51
Parroquia Divino Salvador;catolicas;AVENIDA SANTUARIO DE VALVERDE 37;Pedro Rico;Calle Pedro Rico nº 4
Parroquia Dulce Nombre de María;catolicas;CALLE SAN FLORENCIO 1;Doctor Lozano;Calle Sierra Toledana nº 33
Parroquia El Salvador y San Nicolás;catolicas;CALLE ATOCHA 58;Antón Martín;Calle Atocha nº 54
Parroquia Encarnación del Señor;catolicas;"AVENIDA INSTITUCION LIBRE DE ENSE&amp;Ntilde;ANZA 49";Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia Epifanía del Señor;catolicas;CALLE NUESTRA SEÑORA DE LA LUZ 64;Caramuel;Calle Caramuel nº 51
Parroquia Espíritu Santo;catolicas;CALLE RICARDO ORTIZ 1;Puente de Ventas;Avenida de Daroca nº 2
Parroquia Espíritu Santo y Nuestra Señora de la Araucana;catolicas;CALLE PUERTO RICO 29;Colombia;Calle Colombia nº 7
Parroquia Hispanoamericana de la Merced;catolicas;CALLE EDGAR NEVILLE 23;Orense 12;Calle Orense nº 12
Parroquia Inmaculada Concepción (El Pardo);catolicas;CALLE MANUEL ALONSO 2;Facultad Derecho;Avenida Complutense nº 23
Parroquia Inmaculado Corazón de María;catolicas;CALLE FERRAZ 74;Pintor Rosales;Paseo del Pintor Rosales frente al nº 38
Parroquia Jesús Obrero;catolicas;CALLE CASTILLO DE UCLES 26;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia Jesús de Nazaret;catolicas;CALLE CUEVAS DEL ALMANZORA 18;Pío XII;Avenida Pío XII nº 3
Parroquia Jesús y María;catolicas;CALLE MAQUEDA 129 y 131;Caramuel;Calle Caramuel nº 51
Parroquia La Cena del Señor;catolicas;CALLE ANTONIO MACHADO 24;Francos Rodríguez;Calle Francos Rodríguez nº 62
Parroquia Los Doce Apóstoles;catolicas;CALLE VELAZQUEZ 88;Embajada de Italia;Calle Velázquez nº 75
Parroquia Madre del Buen Pastor;catolicas;CALLE SAN MARIO 81;Embajadores 191;Calle Sodio nº 1B
Parroquia María Auxiliadora;catolicas;RONDA ATOCHA 25;Ronda de Atocha;Ronda de Atocha nº 2
Parroquia María Inmaculada y Santa Vicenta;catolicas;AVENIDA BRASIL 25;Sor Ángela de la Cruz;Calle Sor Ángela de la Cruz nº 2
Parroquia María Madre del Amor Hermoso;catolicas;CALLE VICENTE CARBALLAL 11;Embajadores 191;Calle Sodio nº 1B
Parroquia María Mediadora;catolicas;AVENIDA RAFAEL ALBERTI 25;Pavones;Calle Hacienda de Pavones nº 342
Parroquia María Reina;catolicas;CALLE PICO DE LA MALICIOSA 9;Sierra Toledana;Camino de Valderribas nº 94
Parroquia María Reina y San Buenaventura;catolicas;CALLE LOPEZ GRASS 44;Sierra Toledana;Camino de Valderribas nº 94
Parroquia María Virgen Madre;catolicas;AVENIDA MACHUPICHU 50;Carlota O’Neill;Calle Carlota O'Neill nº 32
Parroquia Natividad de Nuestra Señora;catolicas;CALLE MARROQUINA 41;Plaza del Encuentro;Calle Arroyo de las Pilillas nº 6
Parroquia Nuestra Madre del Dolor;catolicas;AVENIDA TOREROS 45;Ventas;Avenida de los Toreros nº 49
Parroquia Nuestra Señora Flor del Carmelo;catolicas;AVENIDA EL FERROL 49;Remonta;Calle Azucenas nº 1
Parroquia Nuestra Señora Reina del Cielo;catolicas;PASAJE CAN MENOR 5;Plaza de los Astros;Avenida de Nazaret nº 7
Parroquia Nuestra Señora de Altagracia;catolicas;CALLE AZUAGA 15;Francos Rodríguez;Calle Francos Rodríguez nº 62
Parroquia Nuestra Señora de Aránzazu;catolicas;CALLE JOSE ROMERO 5;Francos Rodríguez;Calle Francos Rodríguez nº 62
Parroquia Nuestra Señora de Begoña;catolicas;CALLE MARCOS DE ORUETA 15 C;Pedro Rico;Calle Pedro Rico nº 4
Parroquia Nuestra Señora de Belén;catolicas;CALLE CORREGIDOR RODRIGO RODRIGUEZ 12;Camino Vinateros;Calle Camino de los Vinateros nº 28
Parroquia Nuestra Señora de Covadonga;catolicas;CALLE FRANCISCO SILVELA 2;Mártires Concepcionistas;Calle Mártires Concepcionistas nº 2
Parroquia Nuestra Señora de Europa;catolicas;PASEO JUAN ANTONIO VALLEJO-NAJERA BOTAS 23;Paseo de la Esperanza;Paseo de la Esperanza nº 2
Parroquia Nuestra Señora de Guadalupe;catolicas;CALLE PUERTO RICO 1;Parque Berlín;Avenida de Concha Espina nº 34
Parroquia Nuestra Señora de Loreto;catolicas;CALLE ALAS 21;Carlota O’Neill;Calle Carlota O'Neill nº 32
Parroquia Nuestra Señora de Luján;catolicas;CALLE PONFERRADA 49;Francos Rodríguez;Calle Francos Rodríguez nº 62
Parroquia Nuestra Señora de Madrid;catolicas;PASEO CASTELLANA 207;Plaza de Castilla;Paseo de la Castellana nº 216
Parroquia Nuestra Señora de Moratalaz;catolicas;CALLE ENTRE ARROYOS 19;Camino Vinateros;Calle Camino de los Vinateros nº 28
Parroquia Nuestra Señora de Sonsoles;catolicas;CALLE TIMOTEO DOMINGO 38;José María Pereda;Calle José María de Pereda nº 1
Parroquia Nuestra Señora de la Aurora y Santo Ángel;catolicas;CALLE GREGORIO SANZ 8;Concordia;Calle Arroyo del Olivar nº 6
Parroquia Nuestra Señora de la Concepción (Pueblo Nuevo);catolicas;CALLE ARTURO SORIA 5;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia Nuestra Señora de la Consolación;catolicas;CALLE JUAN ESPLANDIU 2 C;Parque Roma;Calle Alcalde Sáinz de Baranda frente al nº 107
Parroquia Nuestra Señora de la Estrella;catolicas;CALLE LIRA 4;Niño Jesús;Calle Doctor Esquerdo nº 161
Parroquia Nuestra Señora de la Fuencisla;catolicas;PLAZA ANGELICA SEÑORA 1;Glorieta de Cádiz;Calle Antonio López nº 129
Parroquia Nuestra Señora de la Granada;catolicas;CALLE VILLASILOS 3;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia Nuestra Señora de la Guía;catolicas;CALLE CONDE DE TORRALBA 18;Manuel Caldeiro;Paseo de la Castellana nº 298
Parroquia Nuestra Señora de la Luz;catolicas;CALLE FERNAN NUÑEZ 4;Colombia;Calle Colombia nº 7
Parroquia Nuestra Señora de la Merced;catolicas;CALLE CORREGIDOR JUAN FRANCISCO DE LUJAN 101;Marroquina;Calle Camino de los Vinateros nº 108
Parroquia Nuestra Señora de la Misericordia;catolicas;CALLE ARROYO DEL OLIVAR 100;Concordia;Calle Arroyo del Olivar nº 6
Parroquia Nuestra Señora de la Montaña;catolicas;CALLE CORREGIDOR JOSE DE PASAMONTE 15;Marroquina;Calle Camino de los Vinateros nº 108
Parroquia Nuestra Señora de la Palabra;catolicas;CALLE VALDEBERNARDO 29;Pavones;Calle Hacienda de Pavones nº 342
Parroquia Nuestra Señora de la Paz;catolicas;CALLE VALDERRIBAS 37;Puerta de Mariano de Cavia;Avenida del Mediterráneo nº 19
Parroquia Nuestra Señora de la Peña y San Felipe Neri;catolicas;CALLE PUERTO DE CANFRANC 19;Sierra Toledana;Camino de Valderribas nº 94
Parroquia Nuestra Señora de la Piedad;catolicas;CALLE ANTONIO FOLGUERAS 24;Concordia;Calle Arroyo del Olivar nº 6
Parroquia Nuestra Señora de la Soledad;catolicas;CALLE VISITACION 1;Glorieta de Cádiz;Calle Antonio López nº 129
Parroquia Nuestra Señora de la Vega;catolicas;CALLE CHANTADA 28;Francos Rodríguez;Calle Francos Rodríguez nº 62
Parroquia Nuestra Señora de las Américas;catolicas;CALLE ESPIREA 1 y 3;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia Nuestra Señora de las Angustias;catolicas;CALLE RAFAEL DE RIEGO 16;Palos de la Frontera;Calle Palos de la Frontera nº 27
Parroquia Nuestra Señora de las Delicias;catolicas;PASEO DELICIAS 61;Delicias;Calle Bustamante nº 1
Parroquia Nuestra Señora de las Fuentes;catolicas;CALLE VILLA DE MARIN 39;Pedro Rico;Calle Pedro Rico nº 4
Parroquia Nuestra Señora de las Nieves;catolicas;CALLE NURIA 47;Pedro Rico;Calle Pedro Rico nº 4
Parroquia Nuestra Señora de las Rosas;catolicas;CALLE SUECIA 44 PLANTA 3ª C;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia Nuestra Señora de las Victorias;catolicas;CALLE AZUCENAS 34;Remonta;Calle Azucenas nº 1
Parroquia Nuestra Señora de los Apóstoles;catolicas;CALLE LUIS DE HOYOS SAINZ 94 BIS;Pavones;Calle Hacienda de Pavones nº 342
Parroquia Nuestra Señora de los Desamparados y San Lucas;catolicas;PLAZA PINAZO 8;Embajadores 191;Calle Sodio nº 1B
Parroquia Nuestra Señora de los Dolores;catolicas;CALLE SAN BERNARDO 103;Plaza Conde Suchil;Plaza del Conde del Valle de Súchil nº 3
Parroquia Nuestra Señora de los Álamos;catolicas;CALLE LEON FELIPE 1;Pavones;Calle Hacienda de Pavones nº 342
Parroquia Nuestra Señora de los Ángeles;catolicas;CALLE BRAVO MURILLO 93;Glorieta de los Cuatro Caminos;Calle Santa Engracia nº 168
Parroquia Nuestra Señora de África;catolicas;CALLE ALGORTA 14;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Parroquia Nuestra Señora del Aire;catolicas;CALLE MAESTRA JUSTA FREIRE 72;Caramuel;Calle Caramuel nº 51
Parroquia Nuestra Señora del Buen Consejo y San Isidro;catolicas;CALLE TOLEDO 37;Plaza de la Cebada;Plaza de la Cebada nº 16 
Parroquia Nuestra Señora del Buen Suceso;catolicas;CALLE PRINCESA 43;Quintana;Calle Quintana nº 11
Parroquia Nuestra Señora del Camino;catolicas;CALLE FENELON 20;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia Nuestra Señora del Carmen (El Plantío);catolicas;AVENIDA VICTORIA 51;Facultad Derecho;Avenida Complutense nº 23
Parroquia Nuestra Señora del Carmen y San Luis Obispo;catolicas;CALLE CARMEN 10;Plaza del Carmen ;Plaza del Carmen nº 1
Parroquia Nuestra Señora del Consuelo;catolicas;CALLE CLEOPATRA 13;Concordia;Calle Arroyo del Olivar nº 6
Parroquia Nuestra Señora del Encuentro;catolicas;CALLE PEDRO BARREDA 22;Cuatro Caminos 2;Calle Doctor Santero nº 1
Parroquia Nuestra Señora del Espino;catolicas;CALLE CONDE DEL SERRALLO 17;Plaza de Castilla;Paseo de la Castellana nº 216
Parroquia Nuestra Señora del Henar;catolicas;CALLE AGUSTIN DURAN 20;Diego de león;Calle Alonso Heredia nº 1
Parroquia Nuestra Señora del Perpetuo Socorro;catolicas;CALLE MANUEL SILVELA 14;Manuel Silvela;Calle Manuel Silvela nº 20
Parroquia Nuestra Señora del Pilar. (Campamento);catolicas;PLAZA PATRICIO MARTINEZ 5;Caramuel;Calle Caramuel nº 51
Parroquia Nuestra Señora del Pilar. Calle Juan Bravo;catolicas;CALLE JUAN BRAVO 40 BIS;Diego de León 52;Calle Diego de León nº 52
Parroquia Nuestra Señora del Pino;catolicas;CALLE DOROTEO LABORDA 8;Glorieta de Cádiz;Calle Antonio López nº 129
Parroquia Nuestra Señora del Puig;catolicas;CALLE SIERRA DE GREDOS 26;Pavones;Calle Hacienda de Pavones nº 342
Parroquia Nuestra Señora del Puig y San Timoteo;catolicas;CALLE SIERRA DE GREDOS 26;Pavones;Calle Hacienda de Pavones nº 342
Parroquia Nuestra Señora del Recuerdo;catolicas;CALLE ARGENTA 8;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia Nuestra Señora del Rosario;catolicas;PLAZA FRANCISCANOS 3;Caramuel;Calle Caramuel nº 51
Parroquia Nuestra Señora del Rosario de Filipinas;catolicas;"CALLE CONDE DE PE&amp;Ntilde;ALVER 40";Conde Peñalver;Calle Ayala nº 102
Parroquia Nuestra Señora del Rosario de Fátima;catolicas;CALLE ALCALA 292;José María Pereda;Calle José María de Pereda nº 1
Parroquia Nuestra Señora del Sagrado Corazón;catolicas;AVENIDA PIO XII 29;Pío XII;Avenida Pío XII nº 3
Parroquia Nuestra Señora del Sagrario;catolicas;CALLE EL SIGLO FUTURO 14;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Parroquia Nuestra Señora del Santísimo Sacramento;catolicas;CALLE CLARA DEL REY 38;Corazón de María;Calle Santa Hortensia nº 31
Parroquia Nuestra Señora del Tránsito;catolicas;CARRETERA CANILLAS 40;Carlota O’Neill;Calle Carlota O'Neill nº 32
Parroquia Nuestra Señora del Valle;catolicas;CALLE VALDERRIBAS 72;Valderribas;Calle Doctor Esquerdo nº 191
Parroquia Padre Nuestro;catolicas;AVENIDA CANTABRIA 4;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia Patrocinio de San José;catolicas;CALLE PEDRO LABORDE 78;Sierra Toledana;Camino de Valderribas nº 94
Parroquia Preciosa Sangre;catolicas;CALLE GRAN AVENIDA 1;Glorieta de Cádiz;Calle Antonio López nº 129
Parroquia Presentación de Nuestra Señora;catolicas;CALLE CORREGIDOR DIEGO DE VALDERRABANO 62;Camino Vinateros;Calle Camino de los Vinateros nº 28
Parroquia Purificación de Nuestra Señora;catolicas;CALLE EDUARDO UROSA 5;Caramuel;Calle Caramuel nº 51
Parroquia Purísimo Corazón de María;catolicas;CALLE EMBAJADORES 81;Santa María de la Cabeza;Paseo de Santa María de la Cabeza nº 58
Parroquia Resurrección del Señor;catolicas;CALLE ESCALONILLA 26;Caramuel;Calle Caramuel nº 51
Parroquia Sagrada Familia;catolicas;CALLE ANTONIO TOLEDANO 23;Jorge Juan;Calle Jorge Juan nº 131
Parroquia Sagrado Corazón de Jesús de Usera;catolicas;PASEO SANTA MARIA DE LA CABEZA 115;San Delfín;Calle San Delfín nº 9
Parroquia Sagrado Corazón de Jesús. Calle General Zabala;catolicas;CALLE GENERAL ZABALA 10;Prosperidad;Calle Suero de Quiñones nº 2
Parroquia Sagrados Corazones;catolicas;PASEO LA HABANA 31;Paseo de la Habana 63;Paseo de la Habana nº 63
Parroquia San Agustín;catolicas;CALLE JOAQUIN COSTA 10;Plaza de la República Argentina;Plaza de la República Argentina nº 6
Parroquia San Alberto Magno;catolicas;CALLE BENJAMIN PALENCIA 9;Sierra Toledana;Camino de Valderribas nº 94
Parroquia San Alejandro;catolicas;CALLE VIRGEN DE LOURDES 21;Avenida Donostiarra;Calle Virgen de la Alegría nº 18
Parroquia San Alfonso María de Ligorio;catolicas;CALLE ESCALONA 109;Caramuel;Calle Caramuel nº 51
Parroquia San Ambrosio;catolicas;CALLE RIOJANOS 1;Pavones;Calle Hacienda de Pavones nº 342
Parroquia San Andrés Apóstol. Calle Oxígeno;catolicas;CALLE OXIGENO 15 Y 19;Glorieta de Cádiz;Calle Antonio López nº 129
Parroquia San Andrés Apóstol. Plaza San Andrés;catolicas;PLAZA SAN ANDRES 1;Plaza de los Carros;Carrera de San Francisco nº 1
Parroquia San Antonio;catolicas;CALLE BRAVO MURILLO 150;Estrecho;Calle Navarra nº 1
Parroquia San Antonio María Claret;catolicas;CALLE CORAZON DE MARIA 1;Avenida de América 1;Calle Padre Indalecio Hernández nº 1
Parroquia San Antonio María Zaccaría;catolicas;CALLE FUENTE DEL TIRO 27;Caramuel;Calle Caramuel nº 51
Parroquia San Antonio de las Cárcavas;catolicas;AVENIDA MARUJA MALLO 15;Carlota O’Neill;Calle Carlota O'Neill nº 32
Parroquia San Antonio del Retiro;catolicas;CALLE DUQUE DE SESTO 9;Plaza de Felipe II;Plaza de Felipe II
Parroquia San Bartolomé;catolicas;CALLE GUETARIA 1;Glorieta de Cádiz;Calle Antonio López nº 129
Parroquia San Basilio el Grande;catolicas;CALLE FERNANDO POO 36;Jaime el Conquistador;Calle Jaime el Conquistador nº 30
Parroquia San Benito Abad;catolicas;CALLE BESOLLA 7;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Parroquia San Benito Menni;catolicas;CALLE CATORCE OLIVAS 12;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Parroquia San Bernabé;catolicas;CALLE SAN FELIU DE GUIXOLS 9;Pavones;Calle Hacienda de Pavones nº 342
Parroquia San Blas;catolicas;CALLE ALCONERA 1;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia San Bonifacio;catolicas;CALLE BREMEN 2;Avenida Bruselas;Avenida Bruselas nº 56
Parroquia San Bruno;catolicas;CALLE BEATRIZ DE BOBADILLA 3;Reina Victoria;Calle Beatriz de Bobadilla frente al nº 2
Parroquia San Camilo de Lelis;catolicas;CALLE ANOETA 12;Glorieta de Cádiz;Calle Antonio López nº 129
Parroquia San Clemente Romano;catolicas;CALLE COALICION 17;Embajadores 191;Calle Sodio nº 1B
Parroquia San Cristóbal;catolicas;CALLE TRES 2;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia San Cristóbal y San Rafael;catolicas;CALLE BRAVO MURILLO 39 Esc. A;Canal;Calle José Abascal frente al nº 2
Parroquia San Diego;catolicas;AVENIDA SAN DIEGO 61;Concordia;Calle Arroyo del Olivar nº 6
Parroquia San Dámaso;catolicas;CALLE MAURICIO LEGENDRE 10;Chamartín;Calle Rodríguez Jaén nº 40
Parroquia San Eduardo;catolicas;CALLE GENERAL MARGALLO 6;Metro Tetuán;Calle Marqués de Viana nº 3
Parroquia San Eloy;catolicas;PLAZA DOCTOR BARRAQUER 1;Francos Rodríguez;Calle Francos Rodríguez nº 62
Parroquia San Emilio;catolicas;TRAVESIA JOSE NORIEGA 4;Marqués de Corbera 12;Avenida Marqués de Corbera nº 12
Parroquia San Estanislao de Kostka;catolicas;CALLE DOCTOR ESQUERDO 97;Sainz de Baranda;Calle Doctor Esquerdo nº 99
Parroquia San Eulogio;catolicas;"CALLE PE&amp;Ntilde;A DE VARGAS 10";Pavones;Calle Hacienda de Pavones nº 342
Parroquia San Federico;catolicas;CALLE ALCALDE MARTIN DE ALZAGA 21;Francos Rodríguez;Calle Francos Rodríguez nº 62
Parroquia San Felipe Neri;catolicas;CAMINO VALDERRIBAS 39;Sierra Toledana;Camino de Valderribas nº 94
Parroquia San Fermín;catolicas;AVENIDA SAN FERMIN 10 y 12;Embajadores 191;Calle Sodio nº 1B
Parroquia San Fermín de los Navarros;catolicas;PASEO EDUARDO DATO 10;Rubén Darío;Glorieta Rubén Darío 2
Parroquia San Fernando;catolicas;AVENIDA ALBERTO ALCOCER 9;Castellana 164;Paseo de la Castellana nº 164
Parroquia San Francisco Javier y San Luis Gonzaga;catolicas;CALLE MARTIRES DE LA VENTILLA 34;Torre Cepsa;Calle Sinesio Delgado nº 2
Parroquia San Francisco de Asís;catolicas;PLAZA CORPUS BARGA 4;Concordia;Calle Arroyo del Olivar nº 6
Parroquia San Francisco de Borja;catolicas;CALLE SERRANO 104;Castellana 42;Paseo de la Castellana nº 42
Parroquia San Francisco de Paula;catolicas;CALLE RUIDERA 9;Méndez Álvaro;Calle Retama nº 5
Parroquia San Francisco de Sales;catolicas;CALLE FRANCOS RODRIGUEZ 5;Estrecho;Calle Navarra nº 1
Parroquia San Fulgencio y San Bernardo;catolicas;PASEO SAN ILLAN 9;Ermita Santo;Paseo de la Ermita del Santo nº 48
Parroquia San Félix;catolicas;CALLE PUEBLA DE SANABRIA 18;Glorieta de Cádiz;Calle Antonio López nº 129
Parroquia San Gabriel Arcángel;catolicas;CALLE ISLA DE OZA 49;Facultad Derecho;Avenida Complutense nº 23
Parroquia San Gabriel de la Dolorosa;catolicas;CALLE ARTE 4;Manuel Caldeiro;Paseo de la Castellana nº 298
Parroquia San Gerardo María Mayela;catolicas;CALLE MAQUEDA 45;Caramuel;Calle Caramuel nº 51
Parroquia San Germán;catolicas;CALLE SAN GERMAN 26;Orense 36;Calle Orense nº 36
Parroquia San Ginés;catolicas;CALLE ARENAL 13;Plaza de Celenque B;Plaza de Celenque nº 1
Parroquia San Gregorio Magno;catolicas;BULEVAR INDALECIO PRIETO 13;Pavones;Calle Hacienda de Pavones nº 342
Parroquia San Hermenegildo y Santa María de la Cabeza;catolicas;CALLE FOSFORO 4;Segovia 45;Calle Segovia nº 45
Parroquia San Hilario de Poitiers;catolicas;CALLE LUIS CHAMIZO 7;Caramuel;Calle Caramuel nº 51
Parroquia San Ignacio de Loyola;catolicas;CALLE PINOS ALTA 79;Remonta;Calle Azucenas nº 1
Parroquia San Ildefonso y Santos Justo y Pastor;catolicas;CALLE COLON 16;Plaza de San Ildefonso;Plaza de San Ildefonso
Parroquia San Ireneo;catolicas;CALLE CARLOTA O'NEILL 26 bis;Carlota O’Neill;Calle Carlota O'Neill nº 32
Parroquia San Isidoro y San Pedro Claver;catolicas;CALLE VILLA DE PONS  14;Pío XII;Avenida Pío XII nº 3
Parroquia San Isidro;catolicas;CALLE PARQUE EUGENIA DE MONTIJO 54 B;Caramuel;Calle Caramuel nº 51
Parroquia San Jaime;catolicas;CALLE JUAN JOSE MARTINEZ SECO 54;Embajadores 191;Calle Sodio nº 1B
Parroquia San Jenaro;catolicas;CALLE VITAL AZA 81 A;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia San Jerónimo el Real (Los Jerónimos);catolicas;CALLE MORETO 4;Espalter;Calle Espalter nº 1
Parroquia San Joaquín;catolicas;CALLE AMPOSTA 24;Gutierre de Cetina;Calle Gutierre de Cetina nº 77
Parroquia San Jorge;catolicas;CALLE PADRE DAMIAN 22;Doctor Fleming;Calle Doctor Fleming nº 7
Parroquia San José;catolicas;CALLE ALCALA 43;Banco de España A;Calle Alcalá nº 49
Parroquia San José María Escrivá de Balaguer;catolicas;CALLE GANIMEDES 19;Facultad Derecho;Avenida Complutense nº 23
Parroquia San José Obrero;catolicas;CALLE JULIO ANTONIO 3 PLANTA BAJA;Marqués de Vadillo;Glorieta Marqués de Vadillo nº 9
Parroquia San José de Calasanz;catolicas;CALLE IMAGEN 12;Concordia;Calle Arroyo del Olivar nº 6
Parroquia San Juan Bautista;catolicas;"CALLE FAUSTINA PE&amp;Ntilde;ALVER 1";Condesa de Venadito;Calle Condesa de Venadito nº 2
Parroquia San Juan Bautista de la Concepción;catolicas;CALLE CAMARENA 57;Caramuel;Calle Caramuel nº 51
Parroquia San Juan Bosco;catolicas;CALLE DOCTOR LARRA Y CEREZO  S/N;Caramuel;Calle Caramuel nº 51
Parroquia San Juan Crisóstomo;catolicas;CALLE DOMENICO SCARLATTI 2;San Francisco de Sales;Calle General Ampudia nº 2
Parroquia San Juan Evangelista;catolicas;PLAZA VENECIA 1;Avenida Bruselas;Avenida Bruselas nº 56
Parroquia San Juan de Dios;catolicas;CALLE MONTE DE MONTJUICH 19;Pavones;Calle Hacienda de Pavones nº 342
